,total_lengths
0,65.0
1,69.0
2,71.0
3,73.0
4,73.0
5,81.0
6,84.0
7,86.0
8,89.0
9,89.0
10,90.0
11,93.0
12,95.0
13,96.0
14,97.0
15,97.0
16,98.0
17,99.0
18,100.0
19,101.0
20,102.0
21,102.0
22,104.0
23,105.0
24,105.0
25,106.0
26,107.0
27,110.0
28,115.0
29,127.0
30,127.0
31,131.0
32,70.0
33,76.0
34,76.0
35,60.0
36,81.0
37,97.0
38,72.0
39,74.0
40,72.0
41,75.0
42,74.0
43,85.0
44,111.0
45,96.0
46,89.0
47,83.0
48,86.0
49,100.0
50,93.0
51,114.0
52,96.0
53,124.0
54,112.0
55,110.0
56,67.0
57,104.0
58,84.0
59,123.0
60,114.0
61,130.0
62,108.0
63,56.0
64,101.0
65,82.0
66,91.0
67,82.0
68,61.0
69,69.0
70,127.0
71,67.0
72,73.0
73,68.0
74,70.0
75,123.0
76,96.0
77,78.0
78,71.0
79,61.0
80,122.0
81,112.0
82,85.0
83,134.0
84,80.0
85,112.0
86,100.0
87,85.0
88,97.0
89,129.0
90,137.0
91,110.0
92,131.0
93,94.0
94,66.0
95,83.0
96,69.0
97,79.0
98,99.0
99,72.0
100,89.0
101,122.0
102,110.0
103,77.0
104,120.0
105,61.0
106,137.0
107,68.0
108,58.0
109,74.0
110,91.0
111,87.0
112,89.0
113,83.0
114,79.0
115,99.0
116,82.0
117,98.0
118,58.0
119,85.0
120,64.0
121,68.0
122,94.0
123,113.0
124,87.0
125,86.0
126,72.0
127,114.0
128,88.0
129,108.0
130,122.0
131,75.0
132,94.0
133,59.0
134,104.0
135,97.0
136,126.0
137,135.0
138,105.0
139,81.0
140,75.0
141,78.0
142,116.0
143,90.0
144,77.0
145,77.0
146,91.0
147,140.0
148,110.0
149,107.0
150,86.0
151,105.0
152,148.0
153,122.0
154,93.0
155,61.0
156,114.0
157,121.0
158,118.0
159,63.0
160,82.0
161,116.0
162,117.0
163,102.0
164,124.0
165,88.0
166,108.0
167,97.0
168,76.0
169,116.0
170,107.0
171,76.0
172,118.0
173,78.0
174,99.0
175,125.0
176,67.0
177,63.0
178,68.0
179,112.0
180,68.0
181,144.0
182,72.0
183,69.0
184,120.0
185,110.0
186,105.0
187,76.0
188,104.0
189,78.0
190,68.0
191,75.0
192,124.0
193,117.0
194,124.0
195,100.0
196,68.0
197,78.0
198,89.0
199,101.0
200,85.0
201,134.0
202,98.0
203,107.0
204,97.0
205,119.0
206,61.0
207,78.0
208,97.0
209,113.0
210,90.0
211,104.0
212,84.0
213,102.0
214,106.0
215,69.0
216,84.0
217,120.0
218,120.0
219,169.0
220,108.0
221,124.0
222,101.0
223,101.0
224,110.0
225,74.0
226,92.0
227,69.0
228,125.0
229,115.0
230,69.0
231,136.0
232,81.0
233,98.0
234,116.0
235,109.0
236,95.0
237,128.0
238,97.0
239,67.0
240,67.0
241,62.0
242,69.0
243,119.0
244,79.0
245,78.0
246,118.0
247,109.0
248,87.0
249,68.0
250,123.0
251,75.0
252,85.0
253,98.0
254,102.0
255,116.0
256,99.0
257,83.0
258,106.0
259,100.0
260,70.0
261,109.0
262,90.0
263,91.0
264,75.0
265,97.0
266,82.0
267,122.0
268,111.0
269,96.0
270,82.0
271,112.0
272,96.0
273,91.0
274,123.0
275,87.0
276,70.0
277,119.0
278,71.0
279,72.0
280,79.0
281,91.0
282,119.0
283,110.0
284,122.0
285,87.0
286,142.0
287,76.0
288,92.0
289,118.0
290,137.0
291,91.0
292,94.0
293,118.0
294,102.0
295,75.0
296,130.0
297,127.0
298,99.0
299,75.0
300,144.0
301,101.0
302,90.0
303,128.0
304,109.0
305,88.0
306,83.0
307,137.0
308,87.0
309,88.0
310,102.0
311,84.0
312,72.0
313,77.0
314,117.0
315,70.0
316,76.0
317,83.0
318,149.0
319,101.0
320,66.0
321,107.0
322,64.0
323,108.0
324,93.0
325,87.0
326,80.0
327,100.0
328,117.0
329,117.0
330,78.0
331,97.0
332,110.0
333,124.0
334,101.0
335,93.0
336,124.0
337,90.0
338,76.0
339,72.0
340,68.0
341,66.0
342,97.0
343,109.0
344,82.0
345,96.0
346,153.0
347,96.0
348,118.0
349,116.0
350,95.0
351,64.0
352,106.0
353,118.0
354,124.0
355,115.0
356,112.0
357,103.0
358,135.0
359,91.0
360,116.0
361,93.0
362,107.0
363,112.0
364,100.0
365,88.0
366,122.0
367,77.0
368,103.0
369,83.0
370,93.0
371,125.0
372,103.0
373,102.0
374,86.0
375,102.0
376,93.0
377,67.0
378,79.0
379,72.0
380,72.0
381,72.0
382,97.0
383,127.0
384,87.0
385,116.0
386,87.0
387,75.0
388,131.0
389,95.0
390,79.0
391,136.0
392,106.0
393,148.0
394,90.0
395,121.0
396,66.0
397,93.0
398,68.0
399,85.0
400,88.0
401,74.0
402,80.0
403,125.0
404,96.0
405,84.0
406,83.0
407,150.0
408,120.0
409,79.0
410,77.0
411,97.0
412,89.0
413,98.0
414,92.0
415,72.0
416,116.0
417,123.0
418,96.0
419,135.0
420,93.0
421,77.0
422,75.0
423,88.0
424,152.0
425,104.0
426,117.0
427,108.0
428,100.0
429,86.0
430,141.0
431,108.0
432,126.0
433,104.0
434,123.0
435,122.0
436,109.0
437,151.0
438,88.0
439,60.0
440,106.0
441,84.0
442,127.0
443,81.0
444,72.0
445,76.0
446,68.0
447,84.0
448,132.0
449,64.0
450,77.0
451,77.0
452,142.0
453,71.0
454,118.0
455,125.0
456,106.0
457,115.0
458,77.0
459,83.0
460,91.0
461,74.0
462,72.0
463,69.0
464,108.0
465,67.0
466,103.0
467,1000.0
468,66.0
469,113.0
470,66.0
471,77.0
472,142.0
473,63.0
474,84.0
475,83.0
476,153.0
477,122.0
478,109.0
479,133.0
480,72.0
481,134.0
482,106.0
483,133.0
484,102.0
485,101.0
486,92.0
487,104.0
488,120.0
489,83.0
490,87.0
491,71.0
492,141.0
493,82.0
494,85.0
495,118.0
496,123.0
497,81.0
498,83.0
499,114.0
500,100.0
501,76.0
502,129.0
503,73.0
504,70.0
505,108.0
506,118.0
507,122.0
508,114.0
509,87.0
510,123.0
511,103.0
512,70.0
513,144.0
514,94.0
515,112.0
516,99.0
517,77.0
518,137.0
519,84.0
520,121.0
521,70.0
522,76.0
523,100.0
524,92.0
525,104.0
526,96.0
527,71.0
528,97.0
529,129.0
530,76.0
531,152.0
532,111.0
533,93.0
534,98.0
535,128.0
536,82.0
537,84.0
538,123.0
539,76.0
540,99.0
541,102.0
542,99.0
543,81.0
544,164.0
545,91.0
546,74.0
547,69.0
548,114.0
549,113.0
550,135.0
551,79.0
552,84.0
553,73.0
554,103.0
555,111.0
556,106.0
557,82.0
558,99.0
559,68.0
560,101.0
561,87.0
562,68.0
563,117.0
564,96.0
565,78.0
566,86.0
567,118.0
568,106.0
569,74.0
570,133.0
571,140.0
572,108.0
573,72.0
574,93.0
575,141.0
576,84.0
577,78.0
578,74.0
579,141.0
580,90.0
581,115.0
582,139.0
583,157.0
584,75.0
585,107.0
586,129.0
587,65.0
588,132.0
589,86.0
590,84.0
591,106.0
