,total_rewards
0,-146.08001444861293
1,-87.05384592153132
2,-132.33358079195023
3,-49.23852217942476
4,-83.71003490686417
5,-363.4995281845331
6,-133.55610168445855
7,-103.93966976366937
8,-391.8986680470407
9,-167.37493269518018
10,-114.54321284592152
11,-205.7908191215247
12,-380.15411725640297
13,-383.42020465247333
14,-381.2876476496458
15,-103.71042705141008
16,-105.06265346263535
17,-245.88465898111463
18,-196.92773132771254
19,-334.6808504322544
20,-435.74021088704467
21,-414.56712666898966
22,-196.36888167262077
23,10.044632658362389
24,-322.5595900863409
25,-91.64427401870489
26,-143.5078814495355
27,-275.386296980083
28,-241.9527893527411
29,-253.36234650784172
30,-109.978868547827
31,-165.19075102638453
32,-48.781627744436264
33,-161.69294860586524
34,-208.71966728102416
35,-108.09547744691372
36,-85.86652861535549
37,-210.5500851869583
38,-62.297577794641256
39,57.177451979368925
40,-74.30589390452951
41,-326.3720950111747
42,-216.95751669630408
43,-291.6387900696136
44,-205.91067986004055
45,-450.2151129320264
46,-125.12927612476051
47,-218.49782343953848
48,-71.93369623832405
49,-132.6047223219648
50,-188.80981212877668
51,-162.01651758514345
52,-122.83215814922005
53,-140.85637974971905
54,-275.55477488040924
55,-120.79607661534101
56,-100.41122349537909
57,-89.82754612807184
58,-99.6740537583828
59,-186.20478473231196
60,-230.50342412292957
61,-310.6950081810355
62,-464.1422167206183
63,-91.08301457762718
64,-227.75208140932955
65,-101.59217538870871
66,-173.44559213519096
67,-127.83071649819613
68,-107.10122096538544
69,-92.0077045429498
70,-123.05785182584077
71,-224.730362072587
72,-260.98244121670723
73,-82.03737284243107
74,-211.62399477511644
75,-216.39735842123628
76,-172.61241869442165
77,-127.92092101275921
78,-72.40104369819164
79,-170.9695045466069
80,-556.072660450358
81,-160.6096815150231
82,-459.3112924993038
83,-263.2526026200503
84,-252.7555881664157
85,-334.9682743027806
86,-142.1398197002709
87,-218.82901491224766
88,-130.22103288210928
89,-206.3343464434147
90,-408.5580142904073
91,-143.76605636777822
92,-191.32934994949028
93,-359.2428618147969
94,-58.023206263780594
95,-104.40815770905465
96,-100.1080668643117
97,-383.7434228733182
98,-135.60397616401315
99,-206.11371858417988
100,-101.93155713286251
101,-11.483737498521805
102,-136.86926132440567
103,-61.64222376048565
104,-6.081079964525998
105,-134.75702515989542
106,-263.75462134182453
107,-55.26639072597027
108,-45.06526060402393
109,-63.05701016634703
110,-369.42516228556633
111,-97.11754332273267
112,-324.53647266328335
113,-239.4037800207734
114,-205.98219920694828
115,-239.61318412423134
116,-176.4980943799019
117,-219.58677529357374
118,-97.9073477666825
119,-459.3094282448292
120,-85.46728031976636
121,-67.4201111793518
122,-243.8184445539955
123,-456.8158558541909
124,-435.90555030852556
125,-164.73170697502792
126,-112.65921242535114
127,-140.58124117180705
128,-5.219540133140981
129,-74.93106799595989
130,-299.221327111125
131,-108.52124211611226
132,-236.086513904389
133,-91.65693014860153
134,-83.6754878750071
135,-231.50374398753047
136,-248.73274043854326
137,-188.3009251728654
138,-110.17588816955686
139,-179.27326537529007
140,-147.30773463007063
141,-89.91986506950343
142,-78.77959679975174
143,-115.69416000507772
144,-133.8115710671991
145,-126.03919267654419
146,-113.79516087379307
147,-266.7889434956014
148,-268.0571027714759
149,-153.42122174799442
150,-210.9409554703161
151,-18.09647038206458
152,-140.9725774601102
153,-411.7769024297595
154,-341.005439337343
155,-106.04205451993039
156,-96.47758014057763
157,-223.83391330437735
158,-113.60351297818124
159,-59.293226666981354
160,-385.0449502170086
161,-48.93650442920625
162,-93.46989456005394
163,-106.97668191790581
164,-131.42280413303524
165,-390.41855549812317
166,-121.77309644967318
167,-116.26010223198682
168,-168.38523652777076
169,-333.2906891591847
170,-168.89569268003106
171,-163.56696420907974
172,-108.30357067659497
173,-195.237246286124
174,-97.77768363431096
175,-22.369929671287537
176,-184.22493120282888
177,-56.24450175464153
178,-283.16921951575205
179,-251.77206892322283
180,-143.36531402170658
181,-205.89908109232783
182,-112.09019506722689
183,-104.67402893677354
184,-446.6454623565078
185,-103.85744693968445
186,-393.113371104002
187,-76.5285000950098
188,-263.9746660143137
189,-87.52262151613832
190,-359.57045501470566
